Sr.No,District (Amphoe),Province (Changwat).,Region
1,Akat Amnuai,Sakon Nakhon,North-East
2,Amphawa,Samut Songkhram,Central
3,Ao Luek,Krabi,South
4,Aranyaprathet,Sa Kaeo,East
5,At Samat,Roi Et,North-East
6,Bacho,Narathiwat,South
7,Bamnet Narong,Chaiyaphum,North-East
8,Ban Bueng,Chonburi,East
9,Ban Chang,Rayong,East
10,Ban Dan,Buriram,North-East
11,Ban Dan Lan Hoi,Sukhothai,Central
12,Ban Dung,Udon Thani,North-East
13,Ban Fang,Khon Kaen,North-East
14,Ban Haet,Khon Kaen,North-East
15,Ban Hong,Lamphun,North
16,Ban Kha,Ratchaburi,West
17,Ban Khai,Rayong,East
18,Ban Khok,Uttaradit,North
19,Ban Khwao,Chaiyaphum,North-East
20,Ban Kruat,Buriram,North-East
21,Ban Laem,Phetchaburi,West
22,Ban Lat,Phetchaburi,West
23,Ban Luang,Nan,North
24,Ban Lueam,Nakhon Ratchasima,North-East
25,Ban Mai Chaiyaphot,Buriram,North-East
26,Ban Mi,Lopburi,Central
27,Ban Mo,Saraburi,Central
28,Ban Muang,Sakon Nakhon,North-East
29,Ban Na,Nakhon Nayok,Central
30,Ban Na Doem,Surat Thani,South
31,Ban Na San,Surat Thani,South
32,Ban Phaeng,Nakhon Phanom,North-East
33,Ban Phaeo,Samut Sakhon,Central
34,Ban Phai,Khon Kaen,North-East
35,Ban Pho,Chachoengsao,East
36,Ban Phraek,Ayutthaya,Central
37,Ban Phue,Udon Thani,North-East
38,Ban Pong,Ratchaburi,West
39,Ban Rai,Uthai Thani,Central
40,Ban Sang,Prachin Buri,East
41,Ban Ta Khun,Surat Thani,South
42,Ban Tak,Tak,West
43,Ban Thaen,Chaiyaphum,North-East
44,Ban Thi,Lamphun,North
45,Bang Ban,Ayutthaya,Central
46,Bang Bo,Samut Prakan,Central
47,Bang Bua Thong,Nonthaburi,Central
48,Bang Kaeo,Phatthalung,South
49,Bang Khan,Nakhon Si Thammarat,South
50,Bang Khla,Chachoengsao,East
51,Bang Khonthi,Samut Songkhram,Central
52,Bang Klam,Songkhla,South
53,Bang Krathum,Phitsanulok,Central
54,Bang Kruai,Nonthaburi,Central
55,Bang Lamung,Chonburi,East
56,Bang Len,Nakhon Pathom,Central
57,Bang Mun Nak,Phichit,Central
58,Bang Nam Priao,Chachoengsao,East
59,Bang Pa In,Ayutthaya,Central
60,Bang Pahan,Ayutthaya,Central
61,Bang Pakong,Chachoengsao,East
62,Bang Phae,Ratchaburi,West
63,Bang Phli,Samut Prakan,Central
64,Bang Pla Ma,Suphan Buri,Central
65,Bang Rachan,Sing Buri,Central
66,Bang Rakam,Phitsanulok,Central
67,Bang Sai 1404,Ayutthaya,Central
68,Bang Sai 1413,Ayutthaya,Central
69,Bang Sao Thong,Samut Prakan,Central
70,Bang Saphan,Prachuap Khiri Khan,West
71,Bang Saphan Noi,Prachuap Khiri Khan,West
72,Bang Yai,Nonthaburi,Central
73,Bannang Sata (Malay: Benang Setar),Yala,South
74,Banphot Phisai,Nakhon Sawan,Central
75,Benchalak,Sisaket,North-East
76,Betong (Malay: Betung),Yala,South
77,Bo Kluea,Nan,North
78,Bo Phloi,Kanchanaburi,West
79,Bo Rai,Trat,East
80,Bo Thong,Chonburi,East
81,Borabue,Maha Sarakham,North-East
82,Bua Lai,Nakhon Ratchasima,North-East
83,Bua Yai,Nakhon Ratchasima,North-East
84,Buachet,Surin,North-East
85,Bueng Bun,Sisaket,North-East
86,Bueng Khong Long,Bueng Kan,North-East
87,Bueng Na Rang,Phichit,Central
88,Bueng Sam Phan,Phetchabun,Central
89,Bueng Samakkhi,Kamphaeng Phet,Central
90,Bung Khla,Bueng Kan,North-East
91,Buntharik,Ubon Ratchathani,North-East
92,Cha-Am,Phetchaburi,West
93,Cha-uat,Nakhon Si Thammarat,South
94,Chae Hom,Lampang,North
95,Chai Badan,Lopburi,Central
96,Chaiyo,Ang Thong,Central
97,Chai Buri,Surat Thani,South
98,Chai Prakan,Chiang Mai,North
99,Chai Wan,Udon Thani,North-East
100,Chaiya,Surat Thani,South
101,Chaloem Phra Kiat,Nakhon Ratchasima,North-East
102,Chaloem Phra Kiat,Buriram,North-East
103,Chaloem Phra Kiat,Nakhon Si Thammarat,South
104,Chaloem Phra Kiat,Saraburi,Central
105,Chaloem Phra Kiat,Nan,Northern
106,Chakkarat,Nakhon Ratchasima,North-East
107,Chamni,Buriram,North-East
108,Chana (Malay: Chenok),Songkhla,South
109,Chanae,Narathiwat,South
110,Changhan,Roi Et,North-East
111,Chang Klang,Nakhon Si Thammarat,South
112,Chanuman,Amnat Charoen,North-East
113,Charoen Sin,Sakon Nakhon,North-East
114,Chat Trakan,Phitsanulok,Central
115,Chatturat,Chaiyaphum,North-East
116,Chaturaphak Phiman,Roi Et,North-East
117,Chawang,Nakhon Si Thammarat,South
118,Chian Yai,Nakhon Si Thammarat,South
119,Chiang Dao,Chiang Mai,North
120,Chiang Kham,Phayao,North
121,Chiang Khan,Loei,North-East
122,Chiang Khong,Chiang Rai,North
123,Chiang Khwan,Roi Et,North-East
124,Chiang Klang,Nan,North
125,Chiang Muan,Phayao,North
126,Chiang Saen,Chiang Rai,North
127,Chiang Yuen,Maha Sarakham,North-East
128,Cho-airong,Narathiwat,South
129,Chok Chai,Nakhon Ratchasima,North-East
130,Chom Bueng,Ratchaburi,West
131,Chom Phra,Surin,North-East
132,Chom Thong,Bangkok,Central
133,Chom Thong,Chiang Mai,North
134,Chon Daen,Phetchabun,Central
135,Chonnabot,Khon Kaen,North-East
136,Chuen Chom,Maha Sarakham,North-East
137,Chulabhorn,Nakhon Si Thammarat,South
138,Chum Phae,Khon Kaen,North-East
139,Chum Phuang,Nakhon Ratchasima,North-East
140,Chum Saeng,Nakhon Sawan,Central
141,Chum Ta Bong,Nakhon Sawan,Central
142,Chumphon Buri,Surin,North-East
143,Chun,Phayao,North
144,Damnoen Saduak,Ratchaburi,West
145,Dan Chang,Suphan Buri,Central
146,Dan Khun Thot,Nakhon Ratchasima,North-East
147,Dan Makham Tia,Kanchanaburi,West
148,Dan Sai,Loei,North-East
149,Den Chai,Phrae,North
150,Det Udom,Ubon Ratchathani,North-East
151,Doem Bang Nang Buat,Suphan Buri,Central
152,Doi Lo,Chiang Mai,North
153,Doi Luang,Chiang Rai,North
154,Doi Saket,Chiang Mai,North
155,Doi Tao,Chiang Mai,North
156,Dok Khamtai,Phayao,North
157,Don Chan,Kalasin,North-East
158,Don Chedi,Suphan Buri,Central
159,Don Mot Daeng,Ubon Ratchathani,North-East
160,Don Phut,Saraburi,Central
161,Don Sak,Surat Thani,South
162,Don Tan,Mukdahan,North-East
163,Don Tum,Nakhon Pathom,Central
164,Dong Charoen,Phichit,Central
165,Dong Luang,Mukdahan,North-East
166,Erawan,Loei,North-East
167,Fak Tha,Uttaradit,North
168,Fang,Chiang Mai,North
169,Fao Rai,Nong Khai,North-East
170,Galyani Vadhana,Chiang Mai,North
171,Hang Chat,Lampang,North
172,Hang Dong,Chiang Mai,North
173,Hankha,Chainat,Central
174,Hat Samran,Trang,South
175,Hat Yai,Songkhla,South
176,Hot,Chiang Mai,North
177,Hua Hin,Prachuap Khiri Khan,West
