Sr.No,Province,Capital,Population,Area (km²),Population Density,Largest Metropolitan Area,Abbr.,ISO,FIPS
1,Bangkok,Bangkok,"57,01,394","1,568.70","3,634.50",Bangkok Metropolitan Area,BKK,TH-10,TH40
,(special administrative area),,,,,,,,
2,Amnat Charoen,Amnat Charoen,"3,72,137","3,161.20",117.7,Amnat Charoen,ACR,TH-37,TH77
3,Ang Thong,Ang Thong,"2,84,970",968.4,294.3,Ang Thong,ATG,TH-15,TH35
4,Bueng Kan,Bueng Kan,"3,85,053","4,305",89.4,Bueng Kan,---,TH-38,---
5,Buriram,Buriram,"15,53,765","10,322.90",150.5,Buriram,BRM,TH-31,TH28
6,Chachoengsao,Chachoengsao,"6,73,933","5,351.00",125.9,Chachoengsao,CCO,TH-24,TH44
7,Chainat,Chainat,"3,34,934","2,469.70",135.6,Chainat,CNT,TH-18,TH32
8,Chaiyaphum,Chaiyaphum,"11,27,423","12,778.30",88.2,Chaiyaphum,CPM,TH-36,TH26
9,Chanthaburi,Chanthaburi,"5,14,616","6,338.00",81.2,Chanthaburi,CTI,TH-22,TH48
10,Chiang Mai,Chiang Mai,"16,40,479","20,107.00",81.6,Chiang Mai,CMI,TH-50,TH02
11,Chiang Rai,Chiang Rai,"11,98,218","11,678.40",102.6,Chiang Rai,CRI,TH-57,TH03
12,Chonburi,Chonburi,"13,16,293","4,363.00",301.7,Pattaya,CBI,TH-20,TH46
13,Chumphon,Chumphon,"4,89,964","6,009.00",81.5,Chumphon,CPN,TH-86,TH58
14,Kalasin,Kalasin,"9,82,578","6,946.70",141.4,Kalasin,KSN,TH-46,TH23
15,Kamphaeng Phet,Kamphaeng Phet,"7,27,093","8,607.50",84.5,Kamphaeng Phet,KPT,TH-62,TH11
16,Kanchanaburi,Kanchanaburi,"8,39,776","19,483.20",43.1,Kanchanaburi,KRI,TH-71,TH50
17,Khon Kaen,Khon Kaen,"17,67,601","10,886.00",162.4,Khon Kaen,KKN,TH-40,TH22
18,Krabi,Krabi,"4,32,704","4,708.50",91.9,Krabi,KBI,TH-81,TH63
19,Lampang,Lampang,"7,61,949","12,534.00",60.8,Lampang,LPG,TH-52,TH06
20,Lamphun,Lamphun,"4,04,560","4,505.90",89.8,Lamphun,LPN,TH-51,TH05
21,Loei Province,Loei,"6,24,066","11,424.60",54.6,Loei,LEI,TH-42,TH18
22,Lopburi Province,Lopburi,"7,55,854","6,199.80",121.9,Lopburi,LRI,TH-16,TH34
23,Mae Hong Son,Mae Hong Son,"2,42,742","12,681.30",19.1,Mae Hong Son,MSN,TH-58,TH01
24,Maha Sarakham,Maha Sarakham,"9,40,911","5,291.70",177.8,Maha Sarakham,MKM,TH-44,TH24
25,Mukdahan,Mukdahan,"3,39,575","4,339.80",78.2,Mukdahan,MDH,TH-49,TH78
26,Nakhon Nayok,Nakhon Nayok,"2,52,734","2,122.00",119.1,Nakhon Nayok,NYK,TH-26,TH43
27,Nakhon Pathom,Nakhon Pathom,"8,60,246","2,168.30",396.7,Nakhon Pathom,NPT,TH-73,TH53
28,Nakhon Phanom,Nakhon Phanom,"7,03,392","5,512.70",127.6,Nakhon Phanom,NPM,TH-48,TH73
29,Nakhon Ratchasima,Nakhon Ratchasima,"25,82,089","20,494.00",126,Nakhon Ratchasima,NMA,TH-30,TH27
30,Nakhon Sawan,Nakhon Sawan,"10,73,495","9,597.70",111.8,Nakhon Sawan,NSN,TH-60,TH16
31,Nakhon Si Thammarat Province,Nakhon Si Thammarat,"15,22,561","9,942.50",153.1,Nakhon Si Thammarat,NRT,TH-80,TH64
32,Nan,Nan,"4,76,363","11,472.10",41.5,Nan,NAN,TH-55,TH04
33,Narathiwat,Narathiwat,"7,37,162","4,475.40",164.7,Su-ngai Kolok,NWT,TH-96,TH31
34,Nong Bua Lamphu,Nong Bua Lamphu,"5,02,868","3,859.00",130.3,Nong Bua Lamphu,NBP,TH-39,TH79
35,Nong Khai,Nong Khai City,"9,12,937","3,027.00",124.5,Nong Khai City,NKI,TH-43,TH17
,,,#,,#,,,,
36,Nonthaburi,Nonthaburi,"11,01,743",622.3,"1,770.40",Bangkok Metropolitan Area,NBI,TH-12,TH38
